BHK,Size,Area Locality,Bathroom,Floor_num,Total_floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
1,600,9.665229047410161,1,2.0,3.0,0,1,0,0,0,0,0,1,0,1,0
2,1200,9.667850831935588,2,1.0,1.0,0,1,1,0,0,0,0,0,1,1,0
3,2500,10.08113230159133,4,1.0,3.0,1,0,0,1,0,0,0,1,0,0,0
2,600,9.813990296482501,2,2.0,3.0,0,1,0,0,0,0,0,1,0,1,0
2,830,9.953999439656066,2,2.0,2.0,1,0,0,0,0,0,1,0,0,0,0
2,1040,10.367135756577706,2,2.0,4.0,1,0,0,0,1,0,0,0,1,0,0
3,2000,9.863818074394375,3,-1.0,3.0,1,0,0,0,1,0,0,0,0,0,0
1,400,9.679601132014342,1,2.0,3.0,1,0,0,0,0,0,0,1,0,1,0
1,400,9.714839329047969,1,4.0,4.0,1,0,0,0,1,0,0,0,1,1,0
3,240,9.926282632888089,3,1.0,4.0,1,0,0,1,0,0,0,0,1,1,0
1,550,9.779472574387116,1,0.0,1.0,0,1,1,0,0,0,0,0,1,1,0
1,428,9.857765707739745,1,12.0,21.0,1,0,0,0,0,0,1,0,1,1,0
2,1080,9.784959597769017,1,1.0,2.0,1,0,0,0,0,0,0,1,0,0,0
3,1710,9.994352435673166,3,6.0,18.0,1,0,0,0,0,0,0,0,1,1,0
3,1900,10.034721954335277,3,9.0,15.0,1,0,0,0,1,0,0,0,1,0,0
2,774,9.947946932201228,2,10.0,20.0,1,0,0,0,0,0,1,1,0,0,1
3,1200,9.822386762921722,2,0.0,2.0,1,0,0,0,0,1,0,0,1,1,0
1,515,10.072488285401516,1,12.0,42.0,1,0,0,0,0,0,1,0,1,1,0
2,800,9.732210571767421,2,-2.0,3.0,1,0,1,0,0,0,0,0,1,1,0
2,77,9.70810902600801,1,3.0,4.0,0,1,0,1,0,0,0,0,1,1,0
1,415,9.941599073264484,2,15.0,22.0,1,0,0,0,0,0,1,1,0,1,0
2,1200,9.644815384075084,2,1.0,3.0,0,1,0,0,1,0,0,0,1,1,0
3,1330,10.20923632185553,4,12.0,45.0,1,0,0,0,0,0,1,1,0,1,0
2,75,9.926282632888089,2,2.0,4.0,0,1,0,1,0,0,0,1,0,1,0
2,650,9.657248779212134,1,0.0,2.0,1,0,0,0,0,1,0,0,1,1,0
2,1180,9.758825881111939,2,0.0,5.0,0,1,0,0,0,0,0,1,0,0,1
1,400,10.060814310868622,1,9.0,10.0,1,0,0,0,0,0,1,0,0,1,0
2,950,9.73061286416546,2,1.0,2.0,0,1,1,0,0,0,0,1,0,1,0
2,623,9.732210571767421,2,6.0,7.0,1,0,0,0,0,0,1,0,1,0,1
2,900,9.679601132014342,2,1.0,5.0,0,1,0,0,0,0,0,0,1,0,0
3,1200,9.79264250104019,2,2.0,3.0,0,1,0,0,1,0,0,1,0,1,0
2,800,9.840579073394357,1,3.0,4.0,0,1,0,0,0,0,0,1,0,1,0
3,2210,9.959198075722163,3,4.0,5.0,0,1,0,0,1,0,0,1,0,0,1
1,600,9.853493263388643,1,0.0,3.0,0,1,0,0,0,0,0,0,1,1,0
1,600,9.714839329047969,1,0.0,1.0,1,0,1,0,0,0,0,0,1,1,0
2,1100,9.768654531097674,2,3.0,3.0,1,0,0,0,0,0,0,0,0,0,0
3,1800,9.959198075722163,3,10.0,20.0,0,1,0,0,1,0,0,0,0,1,0
2,750,9.806422898240443,2,1.0,4.0,0,1,0,0,0,0,0,1,0,1,0
2,570,9.769630144085117,2,1.0,3.0,0,1,0,0,0,0,0,1,0,1,0
2,1000,9.717578544770964,2,2.0,8.0,0,1,0,0,1,0,0,1,0,1,0
2,750,10.068889752403251,2,14.0,27.0,1,0,0,0,0,0,1,1,0,1,0
3,1600,10.05137234667051,3,18.0,27.0,1,0,0,0,0,0,1,1,0,0,1
1,500,10.0050609326094,1,4.0,9.0,1,0,0,0,0,0,1,0,0,0,0
1,530,9.734807534467324,1,0.0,3.0,0,1,0,1,0,0,0,0,1,1,0
3,1300,9.940971148681696,3,3.0,4.0,1,0,0,1,0,0,0,1,0,0,0
3,1400,9.82115289111942,3,4.0,5.0,0,1,0,0,1,0,0,1,0,1,0
2,1330,9.717280326989236,2,1.0,2.0,1,0,1,0,0,0,0,0,0,1,0
1,600,9.837710430519074,1,2.0,4.0,0,1,0,0,0,0,0,0,0,1,0
2,720,9.826038915209153,2,5.0,7.0,1,0,0,0,1,0,0,1,0,1,0
2,1100,9.912697814897058,2,2.0,16.0,0,1,1,0,0,0,0,0,0,1,0
4,650,9.799333153361939,2,4.0,4.0,0,1,0,1,0,0,0,0,0,1,0
2,900,10.047106159481729,2,60.0,71.0,1,0,0,0,0,0,1,1,0,0,0
1,950,9.74753333599368,2,1.0,2.0,0,1,0,0,0,1,0,0,1,1,0
2,60,9.705282373999333,1,1.0,3.0,0,1,0,1,0,0,0,1,0,1,0
1,200,9.663759740077765,1,2.0,4.0,1,0,0,1,0,0,0,0,1,0,0
3,1300,9.924225972151216,2,3.0,4.0,1,0,0,0,0,0,0,1,0,1,0
2,950,9.795372998386448,2,1.0,2.0,1,0,1,0,0,0,0,1,0,1,0
2,500,9.714839329047969,2,1.0,1.0,1,0,0,0,0,1,0,0,1,0,0
3,1444,9.942547684366712,3,11.0,14.0,0,1,1,0,0,0,0,1,0,0,0
3,1600,9.880859484730658,3,15.0,16.0,1,0,1,0,0,0,0,1,0,1,0
2,750,9.941599073264484,2,5.0,8.0,1,0,0,0,0,0,1,1,0,0,1
2,1100,9.907281167679212,2,3.0,4.0,1,0,0,0,0,0,0,0,0,0,0
2,1000,9.844753172530305,2,1.0,2.0,0,1,0,0,0,0,0,1,0,1,0
1,450,9.860205228700261,1,1.0,1.0,0,1,1,0,0,0,0,0,1,0,1
2,700,9.916570549751905,2,15.0,28.0,1,0,0,0,0,0,1,0,1,0,0
2,1100,9.738431128410156,2,5.0,5.0,0,1,0,0,1,0,0,0,0,0,1
3,2400,10.025945152114721,3,1.0,3.0,0,1,0,0,1,0,0,0,0,1,0
1,90,9.642042510106224,2,0.0,2.0,0,1,0,1,0,0,0,0,1,1,0
2,760,9.690375985071132,2,1.0,2.0,0,1,0,0,1,0,0,0,1,0,1
1,500,9.848467856292537,1,2.0,3.0,0,1,0,1,0,0,0,1,0,1,0
3,1175,9.851418003682703,2,3.0,4.0,1,0,1,0,0,0,0,0,0,0,0
2,700,10.02902170387775,2,25.0,41.0,1,0,0,0,0,0,1,1,0,1,0
1,350,9.671068873171329,1,2.0,2.0,1,0,0,0,0,0,0,0,1,1,0
3,1450,9.999707104160528,2,4.0,5.0,0,1,0,0,1,0,0,1,0,1,0
3,806,9.970631289762181,2,2.0,4.0,0,1,0,0,0,0,1,1,0,1,0
1,450,9.796021104792159,1,1.0,4.0,1,0,0,1,0,0,0,1,0,0,0
3,1600,10.163574660717067,4,25.0,52.0,1,0,0,0,0,0,1,1,0,0,1
2,550,9.813182393666635,2,4.0,4.0,1,0,0,1,0,0,0,1,0,1,0
3,1350,10.150997982502798,3,1.0,5.0,1,0,0,0,0,0,1,0,0,0,0
1,350,9.550109425586118,1,1.0,4.0,1,0,0,1,0,0,0,1,0,1,0
2,700,9.694786116615093,1,0.0,1.0,1,0,0,0,0,1,0,0,1,1,0
2,1500,9.6857647294641,2,0.0,2.0,0,1,0,0,0,1,0,0,1,1,0
4,2500,10.315611343217826,4,2.0,10.0,1,0,0,0,0,0,1,0,0,1,0
2,110,9.72617722291565,2,1.0,1.0,1,0,0,0,0,0,0,0,1,1,0
3,1500,9.732210571767421,3,1.0,1.0,1,0,0,1,0,0,0,0,1,1,0
3,1500,11.260758123640748,3,8.0,10.0,1,0,0,0,0,0,1,1,0,1,0
2,640,9.677645014438266,2,0.0,1.0,1,0,1,0,0,0,0,0,1,1,0
3,1100,9.813990296482501,2,1.0,10.0,1,0,0,0,1,0,0,1,0,1,0
2,500,9.598961047073342,2,0.0,1.0,0,1,0,0,0,1,0,1,0,1,0
2,1100,9.846152367730632,2,2.0,3.0,0,1,0,0,0,0,0,1,0,0,1
3,1500,9.762681170252375,3,2.0,3.0,1,0,0,0,1,0,0,0,0,0,1
2,950,9.790270451537005,2,2.0,8.0,0,1,0,0,0,0,0,1,0,1,0
2,585,9.841689037127198,2,1.0,5.0,0,1,1,0,0,0,0,0,1,1,0
2,600,9.836633413598193,2,0.0,2.0,0,1,0,0,0,0,0,0,1,1,0
